model,status,dataset,seq_len,horizon,normalize,cnn_variant,rnn_type,attn_variant,pos,ca,direction,heads,wav_on,wavelet_on,wavelet_base,wavelet_level,wavelet_mode,wavelet_take,arch,params,checkpoint,mse,mae,rmse,mape,r2,rev_on,dec_on
ctrl_wavelet-coif5-L3-symmetric-all__standard-standard-lstm-posnone-caoff_patche__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,3,symmetric,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-coif5-L3-symmetric-all__standard-standard-lstm-posnone-caoff_patche__539bf738.pt,0.26756465435028076,0.2966005802154541,0.5172665215827145,7269.45751953125,0.7820956707000732,False,False
ctrl_ca-eca__inception-standard-lstm-posnone-caeca_patched__2f6643df,ok,electricity_removed,64,3,standard,inception,lstm,standard,none,eca,bi,4,False,False,db4,3,symmetric,all,inception+lstm+standard,1077315,./getmodel/bestmodel/ctrl_ca-eca__inception-standard-lstm-posnone-caeca_patched__2f6643df.pt,0.2703641355037689,0.36935439705848694,0.519965513763912,2.9651174545288086,0.7292456030845642,False,False
ctrl_wavelet-haar-L4-periodization-all__standard-standard-lstm-posnone-caoff_pat__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,4,periodization,all,standard+lstm+standard,1774545,./getmodel/bestmodel/ctrl_wavelet-haar-L4-periodization-all__standard-standard-lstm-posnone-caoff_pat__539bf738.pt,0.3423236012458801,0.3474997580051422,0.5850842684997437,56339.44921875,0.8002236485481262,False,False
ctrl_wavelet-haar-L4-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,4,symmetric,all,standard+lstm+standard,1774545,./getmodel/bestmodel/ctrl_wavelet-haar-L4-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.34910115599632263,0.35059642791748047,0.5908478281218631,56672.484375,0.7962683439254761,False,False
ctrl_wavelet-coif5-L4-periodization-all__standard-standard-lstm-posnone-caoff_pa__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,4,periodization,all,standard+lstm+standard,1774545,./getmodel/bestmodel/ctrl_wavelet-coif5-L4-periodization-all__standard-standard-lstm-posnone-caoff_pa__539bf738.pt,0.3649088740348816,0.34882405400276184,0.6040768775866873,12453.787109375,0.7987769842147827,False,False
ctrl_wavelet-coif5-L4-symmetric-all__standard-standard-lstm-posnone-caoff_patche__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,4,symmetric,all,standard+lstm+standard,1774545,./getmodel/bestmodel/ctrl_wavelet-coif5-L4-symmetric-all__standard-standard-lstm-posnone-caoff_patche__539bf738.pt,0.4018791615962982,0.37261927127838135,0.6339393989935459,11263.046875,0.7822064757347107,False,False
ctrl_wavelet-db4-L4-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,4,symmetric,all,standard+lstm+standard,1774545,./getmodel/bestmodel/ctrl_wavelet-db4-L4-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.41241222620010376,0.3808305859565735,0.6421932934873298,24210.6015625,0.7593848705291748,False,False
ctrl_wavelet-haar-L2-symmetric-approx__standard-standard-lstm-posnone-caoff_patc__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,2,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-haar-L2-symmetric-approx__standard-standard-lstm-posnone-caoff_patc__539bf738.pt,0.4172312021255493,0.43413177132606506,0.6459343636357717,2.2279207706451416,0.8537628650665283,False,False
ctrl_wavelet-db4-L4-periodization-all__standard-standard-lstm-posnone-caoff_patc__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,4,periodization,all,standard+lstm+standard,1774545,./getmodel/bestmodel/ctrl_wavelet-db4-L4-periodization-all__standard-standard-lstm-posnone-caoff_patc__539bf738.pt,0.4278421103954315,0.3837340176105499,0.6540964075695811,25217.4765625,0.7618606686592102,False,False
ctrl_wavelet-haar-L2-periodization-approx__standard-standard-lstm-posnone-caoff___539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,2,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-haar-L2-periodization-approx__standard-standard-lstm-posnone-caoff___539bf738.pt,0.4441686272621155,0.45551350712776184,0.666459771675767,2.4809648990631104,0.8443214893341064,False,False
